$BlockNames
EXP_JointSet_1_Axle_111:EXP社 小型車軸
GSO_TB_Carbius_221:楽に運べるように圧縮されたカーバイトのブロック。分解すると24個の"カーバイト煉瓦"になる。
GSO_TB_Celestian_221:楽に運べるように圧縮されたセレスタイトのブロック。分解すると24個の"セレスタイトの結晶"になる。
GSO_TB_Erudian_221:楽に運べるように圧縮されたエルダイトのブロック。分解すると24個の"エルダイトの結晶"になる。
GSO_TB_Fibron_221:楽に運べるように圧縮されたフィブロンのブロック。分解すると24個の"フィブロンの塊"になる。
GSO_TB_Ignian_221:楽に運べるように圧縮されたイグナイトのブロック。分解すると24個の"イグナイトの結晶"になる。
GSO_TB_Luxian_221:楽に運べるように圧縮されたルクサイトのブロック。分解すると24個の"ルクサイトの結晶"になる。
GSO_TB_Olastic_221:楽に運べるように圧縮されたオレイトのブロック。分解すると24個の"オレイト煉瓦"になる。
GSO_TB_Plumbia_221:楽に運べるように圧縮されたメタリウムのブロック。分解すると24個の"メタリウムインゴット"になる。
GSO_TB_Rodius_221:楽に運べるように圧縮されたローダイトのブロック。分解すると24個の"ローダイトカプセル"になる。
GSO_TB_Rubber_221:楽に運べるように圧縮されたゴムのブロック。分解すると24個の"ゴム煉瓦"になる。
GSO_TB_Titania_221:楽に運べるように圧縮されたチタニウムのブロック。分解すると24個の"チタニウムインゴット"になる。
GSOAIController_111:ユニットに特定の役割を与えるために必要なブロック
GSOAIGuardController_111:ユニットに特定の役割を与えるために必要なブロック。\n\nジェレミー・チャンピオンは、AIの開発と自動化の分野で論争を巻き起こす人物となっています。第三シンギュラリティ戦争の後、知覚合成物の開発を禁止する制裁が実施されましたが、市場では機能が改善されたドローンが求められています。Magneto Robotics社の開発責任者であるチャンピオンは、さらに賢いAIを製造すべく、あらゆる能力を駆使して精力的に取り組んできました。最前線を走る熱心なクリエイターの一人として、彼を創造の先駆者と呼ぶ人がいる一方で、異次元の採鉱コロニーで自動化されたユニットをテストするのは非常に危険だという声もあがっている。
GSOAlternator_111:この分別コンベアは、異なる方向に資源を順番に送る特殊機能付きのコンベアです。
GSOAltimeter_111:これは今の自分がいる場所の海抜を表すブロックえっ、海がどっちにあるかって・・・？
GSOAnchorAI_121:地面に固定すると射程に入った敵ユニットを攻撃360度の回転に死角は無い！
GSOAnchorFixed_111:拠点の基盤となる固定アンカー複数の接続点を持つ
GSOAnchorRotating_111:回転盤を持つ固定アンカーセントリーガンに最適
GSOArmourPlateCab_111:操縦ユニットに取り付ける為ののぞき窓が開いている装甲板
GSOArmourPlateLarge_222:大きな脅威への対処に大きな装甲板
GSOArmourPlateMedium_211:中くらいの脅威への対処に中くらいの装甲板
GSOArmourPlateSmall_111:小さな脅威への対処に小さな装甲板
GSOAutoMiner_324:GSO自動掘削機は、カーバイト、オレイト、ローダイト、エルダイト、イグナイト、セレスタイト鉱石を豊富に含んだ鉱脈の上に設置して使います。設置すると自動掘削機が掘削を始め、地下資源を掘り起こしてくれます。
GSOBattery_111:発電機が生み出した電力を蓄えるための小型バッテリー。各種フィールド発生器に使おう
GSOBlock_111:すべてのユニットの基礎となるブロック
GSOBlock_112:GSO基本ブロックを２つ繋げたブロック
GSOBlock_311:GSO基本ブロックを直列に３つ繋げたブロック
GSOBlock_411:４つのGSO基本ブロックを直線的に繋げたブロック
GSOBlock_511:GSO基本ブロックを５つ接続したGSO最長のブロック
GSOBlockHalf_111:通常ブロックを斜めにカットし、断面に装甲板を張り付けたブロック
GSOBlockHalfCorner_111:1/2ブロック横の角に置く角半ブロック。断面には装甲板も付いてます。
GSOBlockHalfCornerInside_111:隅の形を整える隅半ブロック。
GSOBlockLongHalf_211:通常ブロックｘ２を斜めにカットし、断面に装甲板を張り付けたブロック
GSOBlockSkirting_121:この妙な形をしたブロックは拠点を固定した時に空く地面との隙間を埋めるために使います。また、このブロックは地面に埋まる形であっても使えます。接続点は少ないですが、装甲を付けて補ってみて下さい。
GSOBooster_112:ブースターの入門版。燃料タンクを用意して航続距離を伸ばそう。
GSOCannonTurret_111:基本的なキャノン砲。小型で心地よい反動。
GSOCockpit_111:Galactic Survey Organisation社製の基本的な操縦ブロック。
GSOComponentFactory_323:部品メイカーは低価値の資源を使って、それらを上手く組み込んだ様々なグレードの【構成部品】に加工してくれます。部品メイカーが作成出来る【構成部品】の種類は、拡張素子を付けることでアップグレード可能です。未アップグレード状態ではグレード1の【構成部品】が作成可能です。
GSOComponentFactory_Dongle_1_111:この拡張素子を部品メイカーに付けると、先進的グレードの構成部品を作れるようになります。
GSOComponentFactory_Dongle_2_111:この拡張素子を部品メイカーに付けると、複合材グレードの構成部品を作れるようになります。
GSOComponentFactory_Dongle_3_111:この拡張素子を部品メイカーに付けると、異国風グレードの構成部品を作れるようになります。
GSOConveyor_111:基本的なコンベア。組み上げた回路の中でプレイヤーが指示した方向へアイテムを流します。\n\nル・ルージュ教授(P.A.N. da)は、異世界の自動露天掘操業で使用されているNosy Construction Company社製のコンベア技術を発明しました。しかし、発明により大規模な森林伐採が可能になったことを目の当たりにした彼は混乱し、前職を放棄することを決意しました。現在は環境保全活動家として、すべての時間を費やしています。異世界の絶え間ない採鉱計画による環境破壊によって絶滅の危機に瀕したレッサーパンダについて、世間の認識を高めるよう働きかけています。
GSOConveyor_CCTurn_221:一平面から別の平面への移動を可能にするコンベア。基地の立体化にどうぞ！
GSOConveyor_CVTurn_111:一平面から別の平面への移動を可能にするコンベア。基地の立体化にどうぞ！
GSOConveyorStep_121:坂を上り下りさせるためのコンベア拠点に高さを作るならコレだ
GSODeliCannon_221:携行型納品キャノンはユニットに装着し、移動中でも資源を売却することができる。
GSODeliCannon_222:納品キャノンで不要な資源を地球に売ることで、お金が稼げます。こちらは地面に固定して使います。\n\n低軌道惑星間リレー(LOIR)は、バーナード・スティーン博士によって開発された手段です。スティーン博士は、規制されている物質を、効率的かつ匿名で他の惑星に密輸する手段を開発しました。地上で'配送用大砲'に届けたい物質を入れ、貨物を低軌道で爆発させて無線で運転された中継衛星が収集し、宇宙空間を介して目的地に到達する仕組みになっています。スティーン博士は、当局に捕らえられましたが、異世界の採鉱会社と惑星間郵送サービスでプロセスを”分け合う”契約を締結することで、刑務所入りから逃れることができました。さらに、商品の配送サービスの収益から1％分を貰っています。彼は、現在タイタンと火星の間を行き来して、税金の支払いを免れています。
GSODropperConveyor_111:コンベアによってこのブロックへ到達した資源は地面にドロップされます。
GSOFabricator_322:2つ以上の資源から1つのブロックを作成することができます。\n\nGSO社のファブリケーターは、良い一日プロジェクトでの作業中に、ローレンス・ハートレー博士によって初考案されました。合成機は、20世紀後半に放映されたSFテレビ番組からインスピレーションを受けて開発されました。この番組では、'レプリケーター'という機器が純粋なエネルギーから即座にいろんな種類の料理を作ることができました。ハートレー博士とプケステインは、優れた複製機器を作るべく、作業を開始しました。彼らの努力は実を結び、ついに合成機が完成しました。操作者は、この機器で異なる材料を組み合わせて、全く新しいものを作り出すことができます。
GSOFan_221:この密閉型プロペラがあなたを彼方へ導いてくれるでしょう。
GSOFilter_111:このフィルターはループするように組んだコンベアに接続して使います。通したいアイテムをフィルターの上にドラッグして登録すると、そのアイテムだけ通すようになります。取り消したい場合は右クリックで一覧を開き、任意の項目を選択して下さい。
GSOFixedDrill_111:ミニドリルはドリルの入門編だ。すべてはここから始まる。
GSOFixedDrill_112:このドリルは新たな探鉱者達が満足に働けるだけの仕事をしてくれるだろう。
GSOFuelTank_121:各種ブースターのための小型燃料タンク。\n\n運命のイカルスXIIIミッションからどのような教訓が得られるでしょう？詮索好きなジャック・プレッジャー船長は、現地のデベン峡谷相撲技術大会で優勝し、創意工夫の才能あふれる高度飛行の先駆者として、キャリアの初期に名声を得ました。イカルスXIIIのブラックボックスレコーダーから、2機目が離陸する前に燃料タンクの補充を忘れたことが要因であると特定されています。宇宙船は低軌道に乗る前に暴走し、乗組員を乗せて急降下しました。それ以来、悲劇が繰り返されないよう、現代の燃料タンクには全てオライト自動補充技術の導入されています。
GSOFuelTank_222:お父さんの背中のように大きい燃料タンク。
GSOGaugeFuel_111:操縦ブロックに積まれている燃料の残量がHUDに表示される。
GSOGaugePower_111:ユニットに積まれているバッテリーの残量がHUDに表示される。
GSOGenerator_211:火力発電機の携行型。燃料を消費することで移動中でも電気を生み出してくれる。
GSOGenerator_212:燃料を消費し、発電する。
GSOGeneratorSolar_141:地面に固定されていれば太陽光を電力に変換する。
GSOGeneratorStatic_212:小型発電機。地面に固定されて燃料が投入されている場合は一定の電力を生み出す。燃料の種類は問わない。
GSOHeart_343:収納共有型ストレージデバイス。この発明は別次元への窓を作り、ブロックを自動で格納します。格納したブロックを取り出すには、その次元のビルドビームモードのインベントリを使用してください。これは地面に固定されている状態でのみ有効です。
GSOHover_212:未来からやってきた大型ホバープレート！
GSOHoverJet_111:小型ホバープレートはユニットの重量を軽減し、浮かせます。\n\n海洋電子工学の技術者であるダリル・ティコム博士は、疎水性を有する自己形状型反重力ベンダーで、現在ホバリングプレートに使われている初期プロトタイプの技術を開発しました。彼の所期の目的は、水に触れずに済む水上輸送の手段を開発することでした。アンコウを超伝導体として使用しようとして重傷を負ったジョン・ジョン・ジョンソン氏は、宿敵であるティコム博士のホバリング技術の計画を盗もうとしました。技術の提案者の特定を巡る紛争は、最終的に論争によって決着しました。幸い、ティコム博士は、以前に起こった出来事での架空の役を演じたジョンソン氏は速やかに退去処分となり、ティコム博士は自分の遺産を取り戻すことができたのです。
GSOLaserFixed_111:小型レーザーガン。大きなダメージを与えるには数で勝負。ピチューンピチューン！\n\nパーソナルテクノロジー研究所(P-Tech、i-USA)のヤム教授は、イオンレーザー調理オーブン一式を開発しようとしている最中に狭軌コイルレーザー技術を思いつき、従来の電子レンジよりも速い調理手段を開発することを目指すようになりました。初期の試作品は、食品が不安定な運動エネルギーで加熱されるため、事故が続いていました。ヤム教授は、稼働中のオーブンに向かってベーコンを投げたと伝えられていますが、ベーコンは空中で赤色に変わり、熱の影響を受けて一瞬で爆発しました。その後、技術は電力が大幅に軽減され、防衛産業に再利用されています。
GSOLaserForward_111:正面に配置するタイプのレーザー。威力が向上している。
GSOLightFixed_111:ロケットのかたちをしたヘッドライト。そのフォルムはどんな人をも魅了します。\n\n悪名高い詩人、ジョック・シルバーによる最終公演は、異世界の賑やかなイベントにぴったりでした。巨大な舞台が作られ、ボード上に彼の動きがすべて映し出されました。聴衆が集り幕が開かれると、シルバーは舞台を自分のものにしました。彼は一瞬にして聴衆を魅了し、どんでん返しで素早い詩を繰り出していました。しかし、観客の関心が舞台に向いている間にシルバーの共犯者、ノア・ウェブスターが現れ、駐車場からユニットを根こそぎ奪って売却し始めました。シルバーの努力むなしく、客の一人が共犯者の行動を発見しって事は終結しました。これ以降、シルバーによる公演は開催されなかったそうです。
GSOLightSpot_111:サーチライトは自動的に周囲を探知し、暗闇に潜む敵を照らし出します。\n\n異世界の国境は無法地帯です。法律家が数人しかおらず、その中の一人である国際警察官 、マシュー・チョイニエーネ司令官は、まずエンジニアとして異世界のキャリアを始めましたが、泥棒にユニットを盗まれたことをきっかけに、兵士に転身しました。犯人を追跡しているうちに夜が訪れ床に就きます。警備員たちは泥棒たちが忍び寄り、キャンプを奇襲してしまうとは全く知りませんでした。しかしチョイニエーネだけはそれに気づき、紀州の被害を防ぐことができました。現在チョイニエーネは、法律家として活躍しています。
GSOLightStrip_211:この便利な蛍光灯は周囲をよく照らしてくれます。あと、誘蛾灯も兼ねています。
GSOLightStud_111:鋲状の一般的な固定式ランタン。遠くまで照らしてくれる訳ではありませんが、安く手に入ります。
GSOMediumCannon_222:爆発物を射出する大型キャノン砲。これは戦争だ！
GSOMegaBooster_112:ジャガーノート級のジェットブースター。燃料を推進力に変える。
GSOMGunFixed_111:200年以上の信頼に応える武器。\n\nZK-47(別名ケムピコフ)はアサルトライフルであり、サージェント・ピーター・ケンプトン・バスが牛耳る銀河系調査組織のために開発されました。第一次ガンマ象限戦争(GQW1)の勃発時、ケンプトン・バスはステラロイヤル奇襲隊に加わりました。 戦争中、ケンプトン・バスは300人以上の犠牲者を目の当たりにし、喪失感に襲われました。 戦後、彼は海の隠れ家に引きこもり、娯楽として様々な計画に着手しました。ZK-47は、本来低コストでチャットできるよう作成されました。その後、GSO社からケンプトンによるほかのアプリケーションも出回りました。
GSOMiniMissile_222:4発のロックオンミサイルがポッドから速やかに発射され、敵に痛手を負わせてくれます。リロードは長いですが、敵に1パック分撃ち込んだ後なので、大抵は問題になりません。Hawkeyeのものよりも射程は短いですが、Ventureよりは強力です。
GSOMortarFixed_211:この武器で敵に恐怖の雨が降り注ぐ。
GSOPacemaker_111:このブロックを生産拠点に取り付けると、生産速度を遅くしたり早く出来ます。
GSOPlough_211:2ブロック分の幅を持つローダブレード
GSOPlough_311:収穫した資源を手動で基地に押し込むのに最適な形状です。
GSOPloughCowCatcher_321:牛追い型のローダブレードが全てを押しやる
GSORadar_111:レーダーにより近くの敵とガーディアンの襲来区域を知ることができるぞ！
GSOReceiver_111:新しく運んできた資源を拠点に引き入れるブロック循環させる為のコンベアを用意しよう。
GSOReceiver_312:新しく運んできた資源を拠点に引き入れるブロック循環させる為のコンベアを用意しよう。
GSORefinery_222:採れたての資源を使用可能なかたちに精製します。
GSORegen_111:電力を受けていれば、範囲内のダメージを受けているブロックが自動修復されるリペアフィールドを発生させる。
GSORemoteCharger_111:発電機や充電されたバッテリーを積んだTechからバッテリーを積んだ他のTechに送電出来る。中範囲、中速充電、中電弧放電。
GSOScrapMagnet_222:近くに落ちている部品を拾ってくれる大型磁石。
GSOScrapMagnetMini_111:近くに落ちている部品を拾ってくれる小型磁石。
GSOScrapper_322:GSO社製のブロックを分解し、資源へと変えてくれるブロック。
GSOShield_111:電力を受けていれば、敵の攻撃から身を守れるバリアフィールドを発生させます。\n\n自称考古学者でヨガのグルであるジョセフ・コアサンプルは、バブルシールドシステムを構成する重要なコンポーネントであるハードライト・ドライブの初期の先駆者の一人でした。コアサンプルは、このドライブの本来の目的は外部のいたずらや悪天候から掘削地や溝を守ることであると述べました。コアサンプルは、現在バブルシールドの裏に建てた寺院のような家で、彼は”模範的な”生活を送っているそうです。批評家は彼をただの不名誉な老人であると主張していますが、本人はその主張を否定しています。"ただの先入観で、他人から現状に満足していないなんて思われたくない。私は十分幸せだ！"
GSOShop_121:必要なブロックなどを発注することができる。注文した商品は現在位置へ空から降ってくる。右クリックでメニューが開く。
GSOShotgunCombat_111:GSOコンバットショットガンは何かが肉薄してきたときに対処するための道具です。この短砲身ショットガンは実に力強く、肉薄した敵に対して散弾によるダメージをお見舞いしたり、仰け反らせることが出来ます。ただし、離れ過ぎていると力を発揮できません。
GSOSilo_111:サイロブロックは資源ブロックを蓄える。空っぽの時、最初に拾った1種類のみを保持できる。
GSOSilo_212:資源ブロックを40個まで蓄えることができる。このサイロブロックは複数種の資源を保持できる。
GSOSilo_313:資源ブロックを90個まで蓄えることができる。このサイロブロックは複数種の資源を保持できる。
GSOSiloBig_212:このサイロには大きなスタックが一つ入っており、大きめの物質()必要に応じて地位様の物質もを最10個保持できます。
GSOSteeringThruster_111:このブロックは、空中でも陸上でも回転力をユニットに適用できます。通常の操縦入力で管理できます。
GSOStoreBlocksAnchored_222:このサイロの保持ビームは回収したブロックを収納できる
GSOTrack_112:最も安く使える最小の無限軌道です。この健気でちっちゃな働き者は文句を垂れることもなく、かなりキツイ悪路も急斜面も踏み越えてくれます。もし踏み越えられなかったら、"テッカ"を継ぎ足してあげて下さいね。
GSOTractorMini_111:資源を5個まで保持・運搬可能なGSO社製の標準型コレクター。\n\nエラスムスの宇宙飛行士は、宇宙での飲酒(高空域での飲酒に相当)の容疑で、丈夫な指ぬきの中から吊るされた宇宙服の中で目を覚ましました。指ぬきがなかったら、今頃彼は宇宙空間に漂っていたことでしょう。それから彼は、仲間にこう警告するようになりました。"無重力で逆さづりになったまま、宇宙服がげろまみれの状態で目覚めるのは爽快だぜ"。
GSOTractorPad_212:資源を20個まで保持・運搬可能なGSO社製の発展型コレクター
GSOVendor_Block:誰でもブロックの売買・ユニットの購入が可能な中立施設。不用意な来客を避けたければ近くに拠点を構えることはしないほうがいい。右クリックでメニューを開くことができる
GSOVendor_Conveyor:誰でもブロックの売買・ユニットの購入が可能な中立施設。不用意な来客を避けたければ近くに拠点を構えることはしないほうがいい。右クリックでメニューを開くことができる
GSOVendor_DeliCannon:誰でもブロックの売買・ユニットの購入が可能な中立施設。不用意な来客を避けたければ近くに拠点を構えることはしないほうがいい。右クリックでメニューを開くことができる
GSOVendor_MissionBoard:誰でもブロックの売買・ユニットの購入が可能な中立施設。不用意な来客を避けたければ近くに拠点を構えることはしないほうがいい。右クリックでメニューを開くことができる
GSOVendor_Receiver:誰でもブロックの売買・ユニットの購入が可能な中立施設。不用意な来客を避けたければ近くに拠点を構えることはしないほうがいい。右クリックでメニューを開くことができる
GSOVendor_Terminal:誰でもブロックの売買・ユニットの購入が可能な中立施設。不用意な来客を避けたければ近くに拠点を構えることはしないほうがいい。右クリックでメニューを開くことができる
GSOWheel_111:タイヤの直径拡大でつぶつぶも増量！
GSOWheel_222:急勾配の丘も登坂可能な大型GSOTechの作成に役立つ、GSO社製の大型タイヤ。
GSOWheel_233:GSO社最大のタイヤ。GeoCorp社のモノほど馬力はなく、Venture社ほど早いわけでもなく、かと言ってHawkeye社ほど頑丈でもありませんが、他社の中庸を得た、信頼性の高いロングセラー商品です。
GSOWheelGroundClearing_211:山や丘の峰で引っ掛かってしまわないよう、車高を上げる為に役立つタイヤ。
GSOWheelHub_111:多くの接続点を持つシャーシ付のタイヤ
GSOWheelSmall_111:貧弱だが操縦性がまあまあなタイヤ
GSOWheelStabiliser_111:頭が重たいユニットの為の補助輪。
GSOWingLeft_312:飛行用の左翼。
GSOWingMini_311:浮力を得るための小型翼。上下逆さに取り付けるとスポイラーにもなる。
GSOWingRight_312:飛行用の右翼。
GSOWingTail_122:機体の背中に取り付けて操縦を安定させる。
HE_AIModule_Guard_112:Hawkeye AIモジュール"カウンター"は、敵Techを自律攻撃するための頭脳を持ったタフなユニットです。
HE_AITurret_112:拠点防衛に最適な固定型AIセントリーガン。自身に組み込まれている小型キャノンも強力だが武器ブロックを増設することで招かれざる客も叩き出すことができる。
HE_AnchorFixed_212:Hawkeyeの固定アンカーです。地面に置くことで基地の土台になります。回転機能はありませんのでそこは期待しないで下さい。いいですね？その機能付けるの結構大変なんですよ。
HE_AnchorRotating_212:Hawkeye回転アンカーは耐荷重量が高く、実用に耐えうるだけの速度で回ってくれるかなりパワフルなアンカーです。回転速度の目安は、GeoCorpより速くてGSOよりは遅いです。
HE_ArmouredBlock_10_111:束ねた微細なカーボンナノロッドで構成され表面への衝撃を分散する姿は芸術的。
HE_ArmouredBlock_11_121:束ねた微細なカーボンナノロッドで構成され表面への衝撃を分散する姿は芸術的。
HE_ArmouredBlock_12_131:束ねた微細なカーボンナノロッドで構成され表面への衝撃を分散する姿は芸術的。
HE_ArmouredWheel_13_111:ACNRハウジングに覆われた、非常に高い弾性を持つランフラットタイヤ。
HE_BlockSkirting_121:この妙な形をしたブロックは拠点を固定した時に空く地面との隙間を埋めるために使います。また、このブロックは地面に埋まる形であっても使えます。接続点は少ないですが、装甲を付けて補ってみて下さい。
HE_Bracket_01_22_111:非凡なユニットを構築するとき最適な支柱
HE_Bracket_02_23_111:非凡なユニットを構築するとき最適な支柱
HE_Bracket_03_24_111:非凡なユニットを構築するとき最適な支柱
HE_Bracket_4AP_111:通常ブロックより省スペース、軽量化を実現
HE_Bracket_Alt_01_111:6面に接続点を持ち、通常ブロックよりも軽い
HE_Cab_07_111:隠密行動に最適なパイロットスタイルの操縦ブロックです。
HE_CannonTurret_327:M4A4砲塔にはオートリロード機能を備えた16ポンド砲が搭載されています。
HE_CannonTurret_Short_525:M4A4砲塔にはオートリロード機能を備えた16ポンド砲が搭載されています。\n\nグレースワンダー博士は、従来のホーリーモーリーハンターキラーの発明に加え、Hawkeye社からGSO社のメガトン砲に対抗する武器の作成依頼を受け、新たな武器、HGI砲塔を開発しました。HG1は長距離から爆発性のシェルをターゲットに命中させ、壊滅的な打撃を与えます。グレースワンダー博士は、引退後HG1プロジェクトを率いて長年のライバル、メガトン砲の発明家であるグラトン博士をうち負かしました。グレースワンダー博士は、グラトン博士についてこう述べています"私を負かそうなんて喚いていないで、ここで働けばいい。犬の手も借りたいよ"
HE_Chain_Gun_29_111:このチェーンガンは、強力な力を持ったベルトドライブの単砲身兵器です。
HE_Collector_111:中距離の資源を集めてくれる小型のコレクター。耐久性は高いですが、範囲や保持数は平均的です。
HE_Cruise_Missile_51_121:自分でターゲットを追いかけ、命中すると膨大なダメージを与えるパワフルでスマートなミサイルです。
HE_DeliveryCannon_353:軍用の納品キャノン。高耐久な点だけを売りに生き残ってきた商品です。他の納品キャノンと同様、資源を軌道上の中継基地に打ち上げることでお金を稼ぐことが出来ます。
HE_Fabricator_332:資源ブロックをHawkeye社のブロックに変換します。\n\nHawkeye 社の合成機は、一部悪名高い量子コンピュータ技術に基づいて練られたS.Y.L.V.E.Rプロジェクトです。S.Y.L.V.E.Rの運営チームは、プロジェクトの学習コンピュータが類いまれなる性能を達成したと発表しましたが、その結果プロジェクトは深い懸念を巻き起こしました。幸いにも、S.Y.L.V.E.R.は人類を抹殺する目標を掲げておらず、高性能なハイエンドブロックの設計と製作に関心を持っていました。プロジェクトの開発者であるプラズ博士は実用的なアプリケーションを開発し、プロジェクトは合成機に変更されました。
HE_Fan_16_111:この多目的ローターは多くの場面で活用ができ、強力な上昇力を生み出してくれます。
HE_Fuel_131:装甲を施した頑丈な燃料タンクです。お財布へのダメージは小さいですが、かなりの重量です。
HE_Jet_25_111:この空気吸入式ジェットブースターは"ポップロケット"とも呼ばれ、最大200,000 lbfの推力を生み出すことができます。
HE_JetEngine_112:あー、小型なのに全然可愛くないって？かなり役には立つんだけどな。このおチビちゃんを2個セットでくっつければ二重包囲からだって抜け出せるんだぜ。
HE_LandingGear_32_111:折り畳み式の省スペースで失速知らずのタイヤセンサーを搭載しており、ユニットが地表に近づくと自動でタイヤが展開される
HE_Laser_Targeting_111:ターゲットを手動で選択するのに使用される、新しく実験的な兵器です。
HE_Light_Stud_111:左舷だと赤に、右舷だと緑といった具合に、配置に応じて色が変わるライトです。
HE_MachineGun_33_111:信頼できる旧式のSTEN軽機関銃です。地味な作戦では重宝されています。
HE_Mini_Gun_20_111:N830RCは高い連射性と持続射撃速度を備えた6砲身の回転式機関銃です。外部電源付きの回転バレルガトリングが特徴です。
HE_Missile_Pod_28_111:Seeker誘導ミサイルシステムは2発の熱誘導ミサイル"Warhammer"を搭載しています。Seekerは地対空、空対空、空対地機能を備えた汎用性の高い兵器です。
HE_Pylon_17_111:この武器マウントシステムは通常、翼下の兵器に対して使用されます。必要に応じて任意の向きで使用することができます。
HE_RailGun_113:長距離レールガン"AKIRA"は比較的最近開発されました。強力な電磁石を使用しており、どれだけ離れていようとも確実に対象に穴を開けます。
HE_Refinery_232:この頑丈な精製機なら、非常に危険な場所であってもあなたのニーズに十分応えてくれるでしょう。
HE_Regen_112:GSOのリペアフィールドよりも電力を消費しますが、大きさと修復率では勝っています。
HE_Rotor_Large_19_111:Atlasローターは頑丈です。非常に強力なエンジンが巨大なローターを動かし、強烈な揚力を生み出します。
HE_Rotor_Small_18_111:Stormはかなりの揚力を生成する中規模のローターです。配置によって可変翼がいずれかの方向に回転します。位置に関係なく安定性が得られます。
HE_ScrapMagnet_212:このマグネットは積み重ねることでスーパーマグネットが作れます。落ちているブロックを機体の周りに引き付けるのに便利な代物です。
HE_Scrapper_323:Hawkeye分解機は、Hawkeye社製のブロックを取り込み、資源に分解してくれるでしょう。
HE_SCU_343:クリスタルストレージデバイスはそこそこの回収範囲と起動時間ですが、実際目に付くような特徴は高耐久な点です。他のストレージデバイスと同様に、別次元にブロックを格納しインベントリから取り出せます。
HE_SensorPod_30_111:ポインター連続波レーダーシステムは信頼性の高いユニットで、敵を殲滅するのに役立ちます。
HE_Shield_111:生成される巨大な切頂二十面体状のシールドは、多くの攻撃を防いでくれる一方で、大量の電力を消費します。
HE_Shotgun_112:Skeleton Keyショットガンは破壊的な短距離兵器です。他のブロックを設置する場所を残しつつ、ユニットの正面に設置することができます。
HE_StdBlock_01_111:このブロックは頑丈で強く、弾力性があります。お値段もGSOのゴミより少し高いだけですよ。
HE_StdBlock_08_121:単体のブロックと同様に酷使に耐えることができますが、その分重く、コストがかかります。
HE_StdBlock_Alt_1_02_111:このブロックは頑丈で強く、弾力性があります。お値段もGSOのゴミより少し高いだけですよ。
HE_StdBlock_Alt_1_09_121:単体のブロックと同様に酷使に耐えることができますが、その分重く、コストがかかります。
HE_StdBlock_Alt_2_03_111:角を作るのに最適な、L字の素晴らしいブロックです。素敵な上に軽いのに耐久性もかなり高いです。
HE_StdBlock_Alt_2_09_121:この長尺支柱は基本ブロック×2よりも軽いですが、同程度の耐久性があります。
HE_StdBlock_Alt_3_04_111:このブロックは頑丈で強く、弾力性があります。お値段もGSOのゴミより少し高いだけですよ。
HE_StdBlock_Alt_4_05_111:丈夫で軽い平らな支柱です。ただし、接続点は4つだけです。
HE_StdBlock_Alt_4_06_111:このブロックは頑丈で強く、弾力性があります。お値段もGSOのゴミより少し高いだけですよ。
HE_Suppressed_MGun_111:静音、小型、小反動。まさに大型ユニットの脅威に怯える小型ユニットの為の武器（ちょっとした隙間を武器で埋める時にも便利）
HE_Tail_Wing_27_111:カーボンナノファイバー製でレーダーに反応しにくい形状をしている。
HE_TB_Carbius_222:楽に運べるように圧縮されたカーバイトのブロック。分解すると64個のカーバイト煉瓦になる。
HE_TB_Celestian_222:楽に運べるように圧縮されたセレスタイトのブロック。分解すると64個のセレスタイトの結晶になる。
HE_TB_Erudian_222:楽に運べるように圧縮されたエルダイトのブロック。分解すると64個のエルダイトの結晶になる。
HE_TB_Fibron_222:楽に運べるように圧縮されたフィブロンのブロック。分解すると64個のフィブロンの塊になる。
HE_TB_Ignian_222:楽に運べるように圧縮されたイグナイトのブロック。分解すると64個のイグナイトの結晶になる。
HE_TB_Luxian_222:楽に運べるように圧縮されたルクサイトのブロック。分解すると64個のルクサイトの結晶になる。
HE_TB_Olastic_222:楽に運べるように圧縮されたオレイトのブロック。分解すると64個のオレイト煉瓦になる。
HE_TB_Plumbia_222:楽に運べるように圧縮されたメタリウムのブロック。分解すると64個のメタリウムインゴットになる。
HE_TB_Rodius_222:楽に運べるように圧縮されたローダイトのブロック。分解すると64個のローダイトカプセルになる。
HE_TB_Rubber_222:楽に運べるように圧縮されたゴムのブロック。分解すると64個のゴム煉瓦になる。
HE_TB_Titania_222:楽に運べるように圧縮されたチタニウムのブロック。分解すると64個のチタニウムインゴットになる。
HE_Terminal_111:Hawkeye社製ブロックを専門に取り扱うオンライン通販端末です。
HE_Tracks_21_111:M4は強度、柔軟性、グリップ性がある"ケブラーの二重織"を用いた無限軌道です。接続部分を手で頻繁に直す必要がある金属製の履帯とは異なり、この履帯は移動中でも摩耗した部分を埋める事が出来る、"融解繊維修復ユニット"を内蔵しています。
HE_Wheel_14_111:丈夫で操作性、走破性が高いオフロードタイヤ。隠密偵察車には打ってつけです。
HE_Wheel_Single_02_122:偵察車両に最適です。このタイヤはただ速いだけでなく、小型Techに大量の火器を効率的に配置出来るだけの接続点まで付いてます。
HE_Wheel_Single_121:偵察車両に最適です。このタイヤはただ速いだけでなく、小型Techに大量の火器を効率的に配置出来るだけの接続点まで付いてます。
HE_Wing_26_111:カーボンナノファイバー製で、低解像度のレーダーに反応しにくくなるように設計されている。
HE_Wing_Wheel_31_111:おまけ程度の補助タイヤ。大抵は翼下に取り付けて地上での安定性を上げるのに使います。
