$BlockNames
EXP_JointSet_1_Axle_111:创新研发科技 小型轮轴
GCTripleBore_234:这个零件会在几秒内撕咬掉任何东西。
GCWheel_222:一个非常耐磨的车轮也是入门级的工程轮，比其他科技的轮子的承载能力更高。这可是个艰苦的工作。
GCWheel_232:这是一个中型深空联合矿业轮。
GCWheel_Stupid_588:这是世界上最大的轮子。特别的大。比真正大的东西还大。当人们看到这些轮子时，他们禁不住惊呼：“天哪，那轮子真的太大了。”，它们真的很大。
GCWheelMega_344:这是一个大型深空联合矿业轮。
GCWheelMetal_222:坚固的碾压型工程轮。
GCWheelMetal_332:中等大小的碾压型工程轮
GSO_Exploder_A_111:一个带有 2 个连接点的爆弹式连接器。该方块为一次性物品。连接至载具后，按下 X 键时，该连接器就会自爆。这使得建造多合一载具成为可能，载具可在不伤害到方块的情况下变化形态。
GSO_Exploder_B_111:一个带有 6 个连接点的爆弹式连接器。该方块为 2 点爆弹式连接器的双向版本，按下 X 键时，该连接器就会自爆。该方块主要用于在不伤害到载具的情况下，将大型载具分解成多个小型载具。
GSO_TB_Carbius_221:一个方便运输的煤碳压缩块。用24块煤砖制造。
GSO_TB_Celestian_221:一个方便运输的镁晶压缩块，用24块镁晶制造。
GSO_TB_Erudian_221:一个方便运输的博晶压缩块，用24块博晶制造。
GSO_TB_Fibron_221:一个方便运输的木纖維压缩块，用24块木纖維制造。
GSO_TB_Ignian_221:一个方便运输的铌晶压缩块，用24块铌晶制造。
GSO_TB_Luxian_221:一个方便运输的氖晶压缩块，用24块氖晶制造。
GSO_TB_Olastic_221:一个方便运输的塑膏压缩块，用24块塑膏制造。
GSO_TB_Plumbia_221:一个方便运输的铁锭压缩块，用24块铁锭制造。
GSO_TB_Rodius_221:一个方便运输的镉酸压缩块，用24块镉酸液制造。
GSO_TB_Rubber_221:一个方便运输的橡胶压缩块，用24块橡胶制造。
GSO_TB_Titania_221:一个方便运输的钛锭压缩块，用24块钛锭制造。
GSOAIController_111:能够为载具指定特定作用的一个重要部分。
GSOAIGuardController_111:能够为载具指定特定作用的一个重要部分。
GSOAlternator_111:传送带分流器是一个特殊的传送带，它可以把资源块平均分配到不同的传送线上。
GSOAltimeter_111:这个零件会告诉你你在海平面以上或以下的高度。虽然它没有提及海在哪里…
GSOAnchorAI_121:银河系联合国-AI锚定模块使得建筑塔楼的建造更容易。它会360度旋转射击，当然，它可以感知敌人的载具。
GSOAnchorFixed_111:一个固定的锚点，可以在这上面建造。
GSOAnchorRotating_111:一个可以旋转的锚点。伟大的发明。
GSOArmourPlateCab_111:一个带舷窗的装甲板，可以让里面的人看到外面。
GSOArmourPlateLarge_222:大型装甲板，可以抵抗较高的伤害。
GSOArmourPlateMedium_211:中型装甲板，可以给载具提供一定的防御。
GSOArmourPlateSmall_111:小型装甲板，不管怎么说总比没有好。
GSOAutoMiner_324:银河系联合国自动挖掘机可以被锚定，放在石墨、铀，油胶，博晶，火焰和镁晶上的话自动挖掘机即可自动工作挖掘矿石。
GSOBattery_111:可以由发电机充电的小电池，用这个来给护盾充能吧。
GSOBlock_111:这是最基础的银河系联合国小方块。
GSOBlock_112:比小方块更强韧的双银河系联合国方块。
GSOBlock_311:这个比双方块更长一点。
GSOBlock_411:这个方块有四个单位长度。
GSOBlock_511:这是个非常长的银河系联合国方块。
GSOBlockHalf_111:一个斜角镀甲方块，在普通方块的基础上减去了一半，能让载具边缘更光滑。
GSOBlockHalfCorner_111:一个角方块，可以在边角使用，也镀了装甲，可以紧挨着斜角方块。
GSOBlockHalfCornerInside_111:一个内角方块，可以让内转角更光滑，也镀了装甲
GSOBlockLongHalf_211:半角方块的加长版，也镀了装甲。
GSOBlockSkirting_121:这些垫脚块被用来填补在建立一个锚定的基地的墙的差距。它们可以随便用。他们缺少附加点，但是他们弥补了基地装甲的缺陷。
GSOBooster_112:一个入门级的推进器。需要燃料罐供应它长时间工作。
GSOCannonTurret_111:一个基础榴弹炮，非常小，但是能打的很出色。
GSOCockpit_111:一个银河系联合国的标准驾驶舱
GSOComponentFactory_323:组件工厂可以使用资源生产高级的组件来组装高级的零件，可以通过附加升级插件来解锁一共3级的组件设计图组。在无升级插件的情况下默认可以生产1级组件。
GSOComponentFactory_Dongle_1_111:这个升级插件可以附加到组件工厂上来解锁复杂的组件设计图组。
GSOComponentFactory_Dongle_2_111:这个升级插件可以附加到组件工厂上来解锁先进的组件设计图组。
GSOComponentFactory_Dongle_3_111:这个升级插件可以附加到组件工厂上来解锁强大的组件设计图组。
GSOConveyor_111:一个标准传送带。可以输送资源块到下一个传送带上。
GSOConveyor_CCTurn_221:一个可以把资源块传送到上一层的传送带。3D立体基地！
GSOConveyor_CVTurn_111:一个可以把资源块传送到上一层的传送带。3D立体基地！
GSOConveyorStep_121:可以让资源块进入垂直的传送带直上直下。高楼基地！
GSODeliCannon_221:移动投送炮可以在载具移动的时候出售资源，让赚钱更容易。
GSODeliCannon_222:固定投送炮可以把资源卖给地球，只能在锚定状态下工作。
GSODropperConveyor_111:这个生产线模块可以被连接到任何一点的输送器上，以便把输送器上的块取下来扔到地上。
GSOFabricator_322:合成台可以用两个或者更多的资源块或元件制造零件。
GSOFan_221:一个全封闭的涡轮推动你向前或者向上！
GSOFilter_111:把这个过滤器安装在传送带线路上然后用右键选定需要过滤出来的东西，一旦选定好，这个过滤器便会过滤出来你选定的东西。
GSOFixedDrill_111:一个微型钻头，很适合新人在外星挖矿。
GSOFixedDrill_112:这个钻头在很多淘金者手中都是一件挖矿的好装备。
GSOFuelTank_121:一个给推进器提供燃料的小油箱。
GSOFuelTank_222:一个大号的油箱。
GSOGaugeFuel_111:这个零件将向HUD增加一个燃油表，显示你的载具油箱里储存了多少燃料。
GSOGaugePower_111:这个零件将向HUD添加一个电量计，显示你载具的电池上储存了多少能量。
GSOGenerator_211:这种移动式燃烧发电机可以在载具移动时进行燃烧发电。
GSOGenerator_212:消耗燃料资源块来发电。
GSOGeneratorSolar_141:一个很好的自动太阳能发电机。它会在锚定的时候将阳光转换成电能，但容易负担过重。
GSOGeneratorStatic_212:小型发电机，锚定后它可以消耗任何可燃资源块，可以产生较多的电量。
GSOHeart_343:一个微型黑洞存储装置，在锚定后就开始充能，能量充满后就会把周围的零件吸入黑洞，通过微型奇点把零件传送到另一个空间。你可以在装置展开后使用物品清单来选取零件并可以把零件拿出来使用。这东西还有其他的用途吗？现在这些已经够了。
GSOHover_212:一个未来的悬浮板！
GSOHoverJet_111:小悬浮板可以让你的载具减少摩擦并保持你的载具悬浮。
GSOLaserFixed_111:小型窄颈激光枪，你需要安装一些这东西战斗力才会高
GSOLaserForward_111:这是一个前置的宽径激光枪
GSOLightFixed_111:一个能让所有人都能接受的流线型前照灯
GSOLightSpot_111:这个探照灯会自动照向周围的敌人防止他们悄悄接近你。
GSOLightStrip_211:这个方便的条形灯有很好很亮的光线覆盖率。
GSOLightStud_111:一个基础的小防风灯，它照不远，当然也不贵。
GSOMediumCannon_222:这就是力量，一个非常强大的重炮。
GSOMegaBooster_112:一个重型机甲级推进器。拥有爆炸一样的喷进力
GSOMGunFixed_111:这种方便的武器在过去的50年里一直是最受欢迎的武器，而且现在仍然很厉害。
GSOMiniMissile_222:银河系联合国导弹炮台会带来真的痛苦。从这个吊舱可以迅速地发射四枚导弹。他们需要一段时间重新加载，但他们也会命中，所以这通常不是一个问题。他们的范围虽然不敌鹰眼军工集团，但比风速疾行公司更强。
GSOMortarFixed_211:这东西可以给你的敌人真正的恐惧
GSOPacemaker_111:将此零件连接到基地的工厂上，以减缓或加快生产速度。按住<color=#81ccefff>鼠标右键</color>以选择速度控制。
GSOPlough_211:一个新型的小型犁，两格宽。
GSOPlough_311:这个犁是很好的把资源推向基地的解决方法。
GSOPloughCowCatcher_321:一个能赶牛的犁，把一切烦恼都推到一边去。
GSORadar_111:这个雷达模块可以让你看到附近的朋友、敌人、任务和贸易站！
GSOReceiver_111:资源接收器会将资源块放入基地传送带，准备处理它们。
GSOReceiver_312:资源接收器会将资源块放入基地传送带，准备处理它们。
GSORefinery_222:精炼器允许你把粗矿资源块提炼成更有价值的东西。
GSORegen_111:一个修理力场罩。如果有足够的电，它将启动并修复范围内受损的零件。
GSORemoteCharger_111:这个零件可以把当前车辆的电量传递到附近的其他己方车辆或者基地上。[中等距离，平衡充电和功率]
GSOScrapMagnet_222:一块大型的零件磁铁，可以把周围的零件都吸过来。
GSOScrapMagnetMini_111:一个小型的零件磁铁，可以把周围较小的零件都吸过来。
GSOScrapper_322:银河系联合国方块回收器可以把银河系联合国方块分解为资源块和组件来重新制造方块或者出售。
GSOShield_111:这个防御立场罩一旦启动就会用电量抵抗敌人的攻击。
GSOShop_121:一个商店终端，可以购买一些零件。零件将通直接快递到你的位置。
GSOShotgunCombat_111:银河系联合国战斗霰弹枪只是一个当敌人很靠近时近身自卫用的武器。这枪就像真正的重拳，强大的散弹伤害覆盖近距离目标。只是不要期望它在一段时间内有太多的射击范围。
GSOSilo_111:筒仓会保存一种资源块，以便以后使用。它只能放置一种资源块
GSOSilo_212:一个可以放40块资源块的中型筒仓，它可以放置多种资源块。
GSOSilo_313:一个可以放90块资源块的大型筒仓，它可以放置多种资源块。
GSOSiloBig_212:一个有大存储量的筒仓，它可以容纳10个更大的东西（小的也一样，如果你喜欢的话）。
GSOSteeringThruster_111:该方块可用于为空中或陆地的载具提供额外转力。该方块可通过一般转向输入控制。
GSOStoreBlocksAnchored_222:存储仓会清理任何在横梁上的块。
GSOTrack_112:目前可用的最小最经济的坦克履带。这条简陋的履带能帮助车辆搭载大量货物穿过崎岖地带，爬过陡峭山坡，尽管声音有点大。如果存在疑虑，就再添几条“捷恰”履带。
GSOTractorMini_111:标准的小型资源块牵引盘，最多可以牵引5个资源块。
GSOTractorPad_212:先进的大型资源块牵引盘，最多可以牵引20个资源块。
GSOVendor_Block:一个中立的交易站，淘金者可以来卖东西赚钱和购买新的块或技术。右键单机即可访问商店终端的菜单。小心，敌人也可能使用这个交易站，所以不要把你的基地建在靠近它的地方。
GSOVendor_Conveyor:一个中立的交易站，淘金者可以来卖东西赚钱和购买新的块或技术。右键单机即可访问商店终端的菜单。小心，敌人也可能使用这个交易站，所以不要把你的基地建在靠近它的地方。
GSOVendor_DeliCannon:一个中立的交易站，淘金者可以来卖东西赚钱和购买新的块或技术。右键单机即可访问商店终端的菜单。小心，敌人也可能使用这个交易站，所以不要把你的基地建在靠近它的地方。
GSOVendor_MissionBoard:一个中立的交易站，淘金者可以来卖东西赚钱和购买新的块或技术。右键单机即可访问商店终端的菜单。小心，敌人也可能使用这个交易站，所以不要把你的基地建在靠近它的地方。
GSOVendor_Receiver:一个中立的交易站，淘金者可以来卖东西赚钱和购买新的块或技术。右键单机即可访问商店终端的菜单。小心，敌人也可能使用这个交易站，所以不要把你的基地建在靠近它的地方。
GSOVendor_Terminal:一个中立的交易站，淘金者可以来卖东西赚钱和购买新的块或技术。右键单机即可访问商店终端的菜单。小心，敌人也可能使用这个交易站，所以不要把你的基地建在靠近它的地方。
GSOWheel_111:更好的越野土路轮！
GSOWheel_222:银河系联合国特大轮是用来建造更大的银河系联合国车辆来翻越陡峭的山坡。
GSOWheel_233:最大的银河系联合国轮子。虽然不如深空联合矿业一样大，也不如风速疾行公司或鹰眼军工集团强，但它在那些轮子中是一个可靠的老员工。
GSOWheelGroundClearing_211:高脚轮可以把载具提升的更高防止载具卡在山上或者是复杂地形上。
GSOWheelHub_111:一个包裹式车轮，可以在它周围装上更多零件。
GSOWheelSmall_111:一个小小的的徒步者轮胎，转向性很好。
GSOWheelStabiliser_111:这个小稳定轮可以支撑载具顶端的负重。
GSOWingLeft_312:左翼，起飞！
GSOWingMini_311:一个迷你扰流板，可以用来扰流或者提升载具。
GSOWingRight_312:右翼，起飞！
GSOWingTail_122:用这个零件帮助你飞行的更平稳。
HE_AIModule_Guard_112:鹰眼军工集团反AI模块作为自主攻击的载具的大脑是一个坚韧的行为单位。
HE_AITurret_112:这个可锚定的AI哨兵是伟大的防御者，有着自己内置的迷你自动炮，如果配备更多的火力就可以毫不留情的把那些不速之客狠狠的揍一顿。
HE_AnchorFixed_212:一鹰眼军工集团固定锚。把它放在地上，在它周围可以建一个锚定的基地。它只是不能旋转好吗？这也是相当难的。
HE_AnchorRotating_212:这鹰眼军工集团旋转锚是非常强大的锚定块。它能承担相当重的负载，但是仍能以合理的速度旋转。比深空联合矿业的快，但银河系联合国的慢。
HE_ArmouredBlock_10_111:由聚合微通道碳纳米棒物质来制造的装甲。这是伟大的艺术。
HE_ArmouredBlock_11_121:由聚合微通道碳纳米棒物质来制造的装甲。这真的是伟大的艺术。
HE_ArmouredBlock_12_131:由聚合微通道碳纳米棒物质来制造的装甲。这真的是伟大的艺术。
HE_ArmouredWheel_13_111:一个令人难以置信的ACNR弹性运行扁平轮。
HE_BlockSkirting_121:这些垫脚块被用来填补在建立一个锚定的基地的墙的差距。它们可以随便用。他们缺少附加点，但是他们弥补了基地装甲的缺陷。
HE_Bracket_01_22_111:一个有用的多功能性的支架系统，是个不寻常的零件。
HE_Bracket_02_23_111:一个有用的多功能性的支架系统，是个不寻常的零件。
HE_Bracket_03_24_111:一个有用的多功能性的支架系统，是个不寻常的零件。
HE_Bracket_4AP_111:一个角架可以占用更小的空间来允许你建造。比一般的零件都轻。
HE_Bracket_Alt_01_111:一个弹跳杰克支架，有六个连接点，比一般的零件整体重量轻。
HE_Cab_07_111:一个高科技先导式驾驶舱，秘密行动的完美选择。
HE_CannonTurret_327:M4A4炮炮塔采用一个紧凑的16磅火炮，有自动装填能力的超级大炮。
HE_CannonTurret_Short_525:M4A4炮炮塔采用一个紧凑的16磅火炮，有自动装填能力的超级大炮。
HE_Chain_Gun_29_111:我们亲切的叫他“狂暴机器”，这个自动供弹的自动机枪可以对敌人倾泻猛烈的火力。
HE_Collector_111:一个中小型牵引盘，很高的收集范围和较低的收集效率。
HE_Cruise_Missile_51_121:一个功能强大的智能导弹，可以自动寻找攻击目标，并能造成大量伤害。
HE_DeliveryCannon_353:战场级锚定投送炮。它能承受一些攻击当然它很占地方。与其他的投送炮一样，它也可以把资源块投送到轨道中继站以换取资金。
HE_Fabricator_332:鹰眼军工集团合成台将把资源块合成成为鹰眼军工集团科技的零件。
HE_Fan_16_111:这种多功能螺旋桨可以在任何配置中使用，并产生强大的爬升力。
HE_Fuel_131:一个强大的坦克燃料罐，这需要一些时间来填满燃料罐，但是罐内可以储存很多燃料。
HE_Jet_25_111:俗称“摇滚火箭”，这种空气增压喷射引擎可以产生高达200000磅的推力。
HE_JetEngine_112:啊，这不就是最可爱的？不过，这架小型喷气式发动机是件严肃的事。带上两个这样的东西，你就可以从任何交火区域离开。
HE_LandingGear_32_111:这个隐藏起落架系统具有高度紧凑的折叠轮安装在了一个整洁的起落架舱室里。自动传感检测器可以检测载具接近或离开地面时把车轮升高或者降低。
HE_Laser_Targeting_111:新的实验性武器，用于手动选择目标。
HE_Light_Stud_111:这个闪烁的灯在载具左侧时为红色，右侧为绿色。
HE_MachineGun_33_111:这是老式的STEM轻机枪，小规模行动的最佳选择。
HE_Mini_Gun_20_111:“N83RC”是一种高火力的六管机枪，可以倾泻高效率高持续性的的火力，它具有一个加特林风格的旋转套筒以及外部电源。
HE_Missile_Pod_28_111:“探索者”导弹发射仓系统装有两个红外线热导“战锤”型导弹，这是一个多功能的武器，在地对空，空对空和空对地的攻击中都能担当重任。
HE_Pylon_17_111:这个武器挂架通常用于翼下武器的挂载，这种多用途的工具可以用在任何方向的武器挂载。
HE_RailGun_113:“阿基拉”型轨道炮可以远距离射击，无论多远这种使用大功率电磁铁的轨道炮都可以在任何载具上打一个洞。
HE_Refinery_232:最重的装甲精炼器，让你在战场上提炼资源块。
HE_Regen_112:重型修复罩发生器，但是尺寸会更大和更高的修复率。
HE_Rotor_Large_19_111:“阿特拉斯”是一种重型的转子片，一个非常强大的引擎会推动这个宽翼大型转子产生极端的推力。
HE_Rotor_Small_18_111:“风暴”是一种可以产生大量推力的中型转子片，可变的叶片可以移向任何一个方向工作。
HE_ScrapMagnet_212:鹰眼军工集团的可堆疊方塊磁鐵，最適合帶走你的戰利品。
HE_Scrapper_323:鹰眼军工集团分解器可以将鹰眼军工集团零件分解为资源块。
HE_SCU_343:虽然“迷宫”锚定 SCU 的拾取范围和启动时间都较为优秀，但真正值得称道的是它的装甲。与所有 SCU 设备相同，它会将未安装的方块存入另一空间，随后您可以在物件库中找到它们并使用。
HE_SensorPod_30_111:连续波雷达系统是一种可靠，完美的雷达，可以扫描周围的敌人并显示在小地图上。
HE_Shield_111:一个大型六角形防御盾构成发生器，会提供大量的保护，但也会消耗大量的电力。
HE_Shotgun_112:“万用钥匙”霰弹枪是一种高破坏性的短距离投射武器。它可以把任何载具的零件都喷飞。
HE_StdBlock_01_111:这是一块重型的，皮糙肉厚但是应用灵活的方块，这个比一般的基础方块贵一点。
HE_StdBlock_08_121:很像单方块，这个双方块融合了两个单方块，但是他更重更硬，当然会更贵一点
HE_StdBlock_Alt_1_02_111:这是一块重型的，皮糙肉厚但是应用灵活的方块，这个比一般的基础方块贵一点。
HE_StdBlock_Alt_1_09_121:很像单方块，这个双方块融合了两个单方块，但是他更重更硬，当然会更贵一点
HE_StdBlock_Alt_2_03_111:这是一个伟大的转角块，可以完美的放置在角上，很轻但是很耐用。
HE_StdBlock_Alt_2_09_121:这种长支架比双方块轻，但是也很耐用。
HE_StdBlock_Alt_3_04_111:这是一块重型的，皮糙肉厚但是应用灵活的方块，这个比一般的基础方块贵一点。
HE_StdBlock_Alt_4_05_111:这是一个平板支架，在平面四个方向有四个连接点，也比较坚固。
HE_StdBlock_Alt_4_06_111:这是一块重型的，皮糙肉厚但是应用灵活的方块，这个比一般的基础方块贵一点。
HE_Suppressed_MGun_111:安静，小型的机关枪。这是一个比较小的机枪，不容易被周围的大型武器干扰（可以用来填充一些空白的部位来安装更多的枪）
HE_Tail_Wing_27_111:这种机翼使用了坚固的纳米纤维，而且这些机翼的设计能让飞机保持较低的雷达反射信号。
HE_TB_Carbius_222:一个方便运输的煤碳压缩块。用64块煤砖制造。
HE_TB_Celestian_222:一个方便运输的镁晶压缩块，用64块镁晶制造。
HE_TB_Erudian_222:一个方便运输的博晶压缩块，用64块博晶制造。
HE_TB_Fibron_222:一个方便运输的木纖維压缩块，用64块木纖維制造。
HE_TB_Ignian_222:一个方便运输的铌晶压缩块，用64块铌晶制造。
HE_TB_Luxian_222:一个方便运输的氖晶压缩块，用64块氖晶制造。
HE_TB_Olastic_222:一个方便运输的塑膏压缩块，用64块塑膏制造。
HE_TB_Plumbia_222:一个方便运输的铁锭压缩块，用64块铁锭制造。
HE_TB_Rodius_222:一个方便运输的镉酸压缩块，用64块镉酸液制造。
HE_TB_Rubber_222:一个方便运输的橡胶压缩块，用64块橡胶制造。
HE_TB_Titania_222:一个方便运输的钛锭压缩块，用64块钛锭制造。
HE_Terminal_111:一个专业销售鹰眼军工集团零件的商店终端。
HE_Tracks_21_111:“M4”是一种连续型轨道履带，由高强度材料制造的履带不像钢履带一样需要经常手动修复连接，这种履带有一个内置的熔融物修复单元来自动修复履带上的破洞，当然这种履带的承重能力也相当高，。
HE_Wheel_14_111:越野轮，机动性特别强，这是低调的侦察车专用的轮子。
HE_Wheel_Single_02_122:完美的侦察车轮，这种轮子有足够的连接点来让侦察车变得更小的同时也有合理的火力。
HE_Wheel_Single_121:完美的侦察车轮，这种轮子有足够的连接点来让侦察车变得更小的同时也有合理的火力。
HE_Wing_26_111:这种机翼使用了坚固的纳米纤维，而且这些机翼的设计能让飞机保持较低的雷达反射信号。
HE_Wing_Wheel_31_111:一个额外的支撑轮，通常悬挂在机翼下增加稳定性。
HE_WingTip_121:这个小型翼可以放置在机翼末端来结束整个机翼或者作为一个方便的尾翼来安装在飞机尾部。
SPE_Moustache_111:一个漂亮的小胡子让某个载具看起来更美观。
SPE_Sombrero_323:一个正宗的墨西哥大草帽，可以保护你的载具不被烈日烤焦，当然最重要的是可以让载具看起来更像一个大明星。
SPEBeardGreen_111:绿色的大胡子
SPEBeardWhite_111:像雪一样白的胡子\n\n 下面是写在里面的标签“这是一个雄伟的原银河太空猴子国王戴的胡子的翻版，国王亚瑟，在未来零重力环境的运动项目，这胡子可以给其佩戴者+2分的。”
SPEBirthdayHat_111:这是什么？蛋糕帽子吗？给我的吗？你居然没有！
SPEBowlerHat_111:戴上这个帽子像一个老板一样扩大你的商业帝国。
SPEBunnyEars_111:喜庆的兔子耳朵我们要在春天去打猎的时侯戴上。
SPEColourBlock01_Black_111:一种制作漂亮的带图案的颜色块。
SPEColourBlock02_Grey_111:一种制作漂亮的带图案的颜色块。
SPEColourBlock03_White_111:一种制作漂亮的带图案的颜色块。
SPEColourBlock04_Purple_111:一种制作漂亮的带图案的颜色块。
SPEColourBlock05_DarkBlue_111:一种制作漂亮的带图案的颜色块。
SPEColourBlock06_Blue_111:一种制作漂亮的带图案的颜色块。
SPEColourBlock07_LightBlue_111:一种制作漂亮的带图案的颜色块。
SPEColourBlock08_LightGreen_111:一种制作漂亮的带图案的颜色块。
SPEColourBlock09_Green111:一种制作漂亮的带图案的颜色块。
SPEColourBlock10_YellowGreen_111:一种制作漂亮的带图案的颜色块。
SPEColourBlock11_Yellow_111:一种制作漂亮的带图案的颜色块。
SPEColourBlock12_Orange_111:一种制作漂亮的带图案的颜色块。
SPEColourBlock13_Brown_111:一种制作漂亮的带图案的颜色块。
SPEColourBlock14_Red_111:一种制作漂亮的带图案的颜色块。
SPEColourBlock15_Magenta_111:一种制作漂亮的带图案的颜色块。
SPEColourBlock16_Pink_111:一种制作漂亮的带图案的颜色块。
SPEColourBlock17_Camping_Green_111:一种适合野营时使用的绿色方块。小帐篷挑选的。
SPEColourBlock18_Indigo_111:一个适合造睡袋的深蓝色方块。沉睡蛋糕挑选的。
SPEColourBlock19_Light_Pink_111:一个光鲜亮丽的粉红色方块。条纹1号挑选的。
SPEColourBlock20_Flesh_01_111:收割者X挑选的肉色方块
SPEColourBlock21_Flesh_02_111:收割者X挑选的肉色方块
SPEColourBlock22_Flesh_03_111:收割者X挑选的肉色方块
SPEColourBlock23_Flesh_04_111:收割者X挑选的肉色方块
SPEColourBlock24_Flesh_05_111:收割者X挑选的肉色方块
SPEFezHat_111:一个尘土飞扬的旧毡帽，它为什么会在这？
SPEHalHatEye_111:一种源于星球尤格斯的修格斯之眼，看起来它没有连接到它的本体但是没有消失，真是奇怪。
SPEHalHatHorn_111:免责声明：这些东西不不构成一整套万圣节服装，当然你使用你发现的任何万圣节狂欢服装都是你的权利，当然我们认为这个零件不应该被使用，没有什么可说的了。
SPEHalHatPumpkin_111:你得到了什么，一个直径一格的南瓜？哦南瓜皮，你还记得数学/南瓜的笑话吗，虽然我们现在的处境不应该说这些。
SPEHalHatWitch_111:一个可怕的巫婆帽。我不知道她为什么不在这里。她是多么粗心。
SPEHatGreen_111:一个绿色的帽子，好的妖精和坏的妖精都会戴。
SPEHatRed_111:一个快乐的圣诞帽
SPEIceCreamCone_111:一个独特的方法来让你的载具不会过热，保持较低的温度。
SPELemon_111:柠檬国王万岁。
SPEMiningHelmet_111:授予给那些从游戏发布第一年就支持我们的泰拉科技矿工们。
SPEPartyCone_111:这个景点的头饰能让你成为所有宴会的灵魂人物。
SPEVH_01_111:这个头盔的主人是来访的维京武士，他们已经回去他们的冰雪天地了。Skål！
SPEXmasDeelyBaubleBlue_121:多么可爱的闪亮饰品！
SPEXmasDeelyBaubleGold_121:多么可爱的闪亮饰品！
SPEXmasDeelyBaubleSilver_121:多么可爱的闪亮饰品！
SPEXmasDeelyPresentGreen_121:哦一个礼物！给我的吗？你不应该拿到！我没给你任何东西。
SPEXmasDeelyPresentRed_121:哦一个礼物！给我的吗？你不应该拿到！我没给你任何东西。
SPEXmasDeelyPresentSilver_121:哦一个礼物！给我的吗？你不应该拿到！我没给你任何东西。
SPEXmasDeelyPudding_121:这个无花果布丁有点要分裂，你喜欢吗？
SPEXmasDeelyRobin_121:看这个摇摆的小知更鸟。如果你移动他，他会来回的摇摆，他不会倒。
SPEXmasDeelyStar_121:是时候装饰一切了！在这里，用这个星星！
SPEXmasReindeerAntlers_311:一个节日的鹿角！吼！吼！吼！
SPEXmasRudolfRedNose_111:有谁听说过红鼻子的驯鹿？
SPEXmasTree_353:闪烁的圣诞树。聚集在它周围。让我们一起唱一首颂歌！
SPEXmasTurkey_323:这就是它！主角出场！一个巨大的烤火鸡，刚出炉！检查一下有没有清理好。说真的，食物中毒不是笑话。
VEN_TB_Carbius_121:一个方便运输的煤碳压缩块。用8块煤砖制造。
VEN_TB_Celestian_121:一个方便运输的镁晶压缩块，用8块镁晶制造。
VEN_TB_Erudian_121:一个方便运输的博晶压缩块，用8块博晶制造。
VEN_TB_Fibron_121:一个方便运输的木纖維压缩块，用8块木纖維制造。
VEN_TB_Ignian_121:一个方便运输的铌晶压缩块，用8块铌晶制造。
VEN_TB_Luxian_121:一个方便运输的氖晶压缩块，用8块氖晶制造。
VEN_TB_Olastic_121:一个方便运输的塑膏压缩块，用8块塑膏制造。
VEN_TB_Plumbia_121:一个方便运输的铁锭压缩块，用8块铁锭制造。
VEN_TB_Rodius_121:一个方便运输的镉酸压缩块，用8块镉酸液制造。
VEN_TB_Rubber_121:一个方便运输的橡胶压缩块，用8块橡胶制造。
VEN_TB_Titania_121:一个方便运输的钛锭压缩块，用8块钛锭制造。
VENAIGuardModule_111:这个AI模块是伟大的建筑的侦查勘探者。
VENAltimeter_111:风速疾行公司的流线形高度计，来计算你的载具与海拔之间的距离。(注意：不是所有的星球也有海洋，出来的结果可能会有差别)
VENAnchorFixed_111:这是一风速疾行公司定锚，给所有热爱固定基地的风速科技爱好者……玩得开心！
VENAnchorRotating_111:这是最快的旋转锚。不过不要期望它承受太多的重量。对于需要快速移动目标的轻型防御塔来说，这是一个不错的选择。
VENBattery_111:电池容量小但很轻，不易引起太大的爆炸。
VENBlock_111:又轻又便宜的小方块，用这个可以造一个高速的赛车，但是不太能受伤害。
VENBlock_112:这个方块很像一个加长版的风速疾行公司单方块。
VENBlockSkirting_121:这些垫脚块被用来填补在建立一个锚定的基地的墙的差距。它们可以随便用。他们缺少附加点，但是他们弥补了基地装甲的缺陷。
VENBooster_111:一个强大的脉冲增压喷射器被封装在了一个小零件里
VENBoosterDouble_211:你知道什么是比一个助推器更好吗？ 双重推进器！ 那什么是比双重助推器更好吗？ 四重推进器！ 虽然我们没有四重推进器，但是买两个双重推进器都有相同的效果！
VENBracketRightAngle_111:直角支架零件。这是个坚固的、轻量级的解决方案，记得最好别被攻击。
VENBracketStraight_111:一个简单轻便的支架，虽然只有两端有连接点。这是为了让载具的体重降低所设计的。
VENBracketStraight_211:一个比较长的直支架。
VENBracketUShape_111:一个U型支架，一个有三个连接点的方块替代品，这玩意相当强！
VENCockpit_111:你的标准风速疾行公司驾驶舱，带有橙色的挡风玻璃。
VENConveyor_111:风速疾行公司输送器可以传递资源块到连接的输送器或工业方块。
VENDeliCannon_221:这种移动投送炮可以在移动的载具上投送资源块来卖钱，这会使赚钱变的相当的方便。
VENEnclosedProp_113:零是一款带有 9 个连接点的小型螺旋桨，规格不大但动力十足。它的价格合理，但其在规格较小的限制下仍可发出优秀的动力。这意味着它能为小型载具提供最佳的动力供给，但前提是您负担得起。
VENFabricator_322:风速疾行公司合成台可以允许你使用资源块制造风速疾行公司的各种零件。
VENFlameThrower_121:这种火焰喷射器是伟大的武器，可以在你朋友面前炫耀你载具的火力，这多好，不过你要知道，这东西战斗很在行，但是挖掘能力很差。
VENFrontWing_311:这东西可以让你的载具看起来更像一辆F1方程式赛车，当然这只是一个扰流板。
VENFuelPod_111:一个非常小的油箱，但是有惊人的容量和价格。
