$BlockNames
EXP_JointSet_1_Axle_111:新研科技 小型輪軸
GSODropperConveyor_111:這個生產線模塊可以被連接到任何一點的輸送器上，以便把输送器上的塊取下來扔到地上。
GSOFabricator_322:合成台可以用兩個或者更多的資源塊或元件製造零件。
GSOFan_221:一個全封閉的渦輪推動你向前或者向上！
GSOFilter_111:把這個過濾器安裝在傳送帶線路上然後用右鍵選定需要過濾出來的東西，一旦選定好，這個過濾器便會過濾出來你選定的東西。
GSOFixedDrill_111:一個微型鑽頭，很適合新人在外星挖礦。
GSOFixedDrill_112:這個鑽頭在很多淘金者手中都是一件挖礦的好裝備。
GSOFuelTank_121:一個給推進器提供燃料的小油箱。
GSOFuelTank_222:一個大號的油箱。
GSOGaugeFuel_111:這個零件將向HUD增加一個燃油表，顯示你的載具油箱裡儲存了多少燃料。
GSOGaugePower_111:這個零件將向HUD添加一個電量計，顯示你載具的電池上儲存了多少能量。
GSOGenerator_211:這種移動式燃燒發電機可以在載具移動時進行燃燒發電。
GSOGenerator_212:消耗燃料資源塊來發電。
GSOGeneratorSolar_141:一個很好的自動太陽能發電機。它會在錨定的時候將陽光轉換成電能，但容易負擔過重。
GSOGeneratorStatic_212:小型發電機，錨定後它可以消耗任何可燃資源塊，可以產生較多的電量。
GSOHeart_343:一個微型黑洞存儲裝置，在錨定後就開始充能，能量充滿後就會把周圍的零件吸入黑洞，通過微型奇點把零件傳送到另一個空間。你可以在裝置展開後使用物件庫來選取零件並可以把零件拿出來使用。這東西還有其他的用途嗎？現在這些已經夠了。
GSOHover_212:一個未來的懸浮板！
GSOHoverJet_111:小懸浮板可以讓你的載具減少摩擦並保持你的載具懸浮。
GSOLaserFixed_111:小型窄頸激光槍，你需要安裝一些這東西戰鬥力才會高
GSOLaserForward_111:這是一個前置的寬徑激光槍
GSOLightFixed_111:一個能讓所有人都能接受的流線型前照燈
GSOLightSpot_111:這個探照燈會自動照向周圍的敵人防止他們悄悄接近你。
GSOLightStrip_211:這個方便的條形燈有很好很亮的光線覆蓋率。
GSOLightStud_111:一個基礎的小防風燈，它照不遠，當然也不貴。
GSOMediumCannon_222:這就是力量，一個非常強大的重砲。
GSOMegaBooster_112:一個重型機甲級推進器。擁有爆炸一樣的噴進力
GSOMGunFixed_111:這種方便的武器在過去的50年裡一直是最受歡迎的武器，而且現在仍然很厲害。
GSOMiniMissile_222:銀河政部導彈砲台會帶來真的痛苦。從這個吊艙可以迅速地發射四枚導彈。他們需要一段時間重新裝彈，但他們也會命中，所以這通常不是一個問題。他們的範圍雖然不敵鷹眼軍事，但比速限公司更強。
GSOMortarFixed_211:這東西可以給你的敵人真正的恐懼
GSOPacemaker_111:將此零件連接到基地的工廠上，以減緩或加快生產速度。按住<color=#81ccefff>鼠標右鍵</color>以選擇速度控制。
GSOPlough_211:一個新型的小型犁，兩格寬。
GSOPlough_311:這個犁是很好的把資源推向基地的解決方法。
GSOPloughCowCatcher_321:一個能趕牛的犁，把一切煩惱都推到一邊去。
GSORadar_111:這個雷達模塊可以讓你看到附近的朋友、敵人、任務和貿易站！
GSOReceiver_111:資源接收器會將資源塊放入基地傳送帶，準備處理它們。
GSOReceiver_312:資源接收器會將資源塊放入基地傳送帶，準備處理它們。
GSORefinery_222:精煉器允許你把粗礦資源塊提煉成更有價值的東西。
GSORegen_111:一個修理力場罩。如果有足夠的電，它將啟動並修復範圍內受損的零件。
GSORemoteCharger_111:這個零件可以把當前車輛的電量傳遞到附近的其他己方車輛或者基地上。[中等距離，平衡充電和功率]
GSOScrapMagnet_222:一塊大型的零件磁鐵，可以把周圍的零件都吸過來。
GSOScrapMagnetMini_111:一個小型的零件磁鐵，可以把周圍較小的零件都吸過來。
GSOScrapper_322:銀河政部方塊回收器可以把銀河政部方塊分解為資源塊和組件來重新製造方塊或者出售。
GSOShield_111:這個防禦立場罩一旦啟動就會用電量抵抗敵人的攻擊。
GSOShop_121:一個商店終端，可以購買一些零件。零件將通直接快遞到你的位置。
GSOShotgunCombat_111:銀河政部戰鬥霰彈槍只是一個當敵人很靠近時近身自衛用的武器。這槍就像真正的重拳，強大的散彈傷害覆蓋近距離目標。只是不要期望它在一段時間內有太多的射擊範圍。
GSOSilo_111:筒倉會保存一種資源塊，以便以後使用。它只能放置一種資源塊
GSOSilo_212:一個可以放40塊資源塊的中型筒倉，它可以放置多種資源塊。
GSOSilo_313:一個可以放90塊資源塊的大型筒倉，它可以放置多種資源塊。
GSOSiloBig_212:一個有大存儲量的筒倉，它可以容納10個更大的東西（小的也一樣，如果你喜歡的話）。
GSOSteeringThruster_111:該方塊可用於為空中或陸地的載具提供額外轉力。該方塊可通過一般轉向輸入控制。
GSOStoreBlocksAnchored_222:存儲倉會清理任何在橫樑上的塊。
GSOTrack_112:目前可用的最小最經濟的坦克履帶。這條簡陋的履帶能幫助車輛搭載大量貨物穿過崎嶇地帶，爬過陡峭山坡，儘管聲音有點大。如果存在疑慮，就再添幾條“捷恰”履帶。
GSOTractorMini_111:標準的小型資源塊牽引盤，最多可以牽引5個資源塊。
GSOTractorPad_212:先進的大型資源塊牽引盤，最多可以牽引20個資源塊。
GSOVendor_Block:一個中立的交易站，淘金者可以來賣東西賺錢和購買新的塊或技術。右鍵單機即可訪問商店終端的菜單。小心，敵人也可能使用這個交易站，所以不要把你的基地建在靠近它的地方。
GSOVendor_Conveyor:一個中立的交易站，淘金者可以來賣東西賺錢和購買新的塊或技術。右鍵單機即可訪問商店終端的菜單。小心，敵人也可能使用這個交易站，所以不要把你的基地建在靠近它的地方。
GSOVendor_DeliCannon:一個中立的交易站，淘金者可以來賣東西賺錢和購買新的塊或技術。右鍵單機即可訪問商店終端的菜單。小心，敵人也可能使用這個交易站，所以不要把你的基地建在靠近它的地方。
GSOVendor_MissionBoard:一個中立的交易站，淘金者可以來賣東西賺錢和購買新的塊或技術。右鍵單機即可訪問商店終端的菜單。小心，敵人也可能使用這個交易站，所以不要把你的基地建在靠近它的地方。
GSOVendor_Receiver:一個中立的交易站，淘金者可以來賣東西賺錢和購買新的塊或技術。右鍵單機即可訪問商店終端的菜單。小心，敵人也可能使用這個交易站，所以不要把你的基地建在靠近它的地方。
GSOVendor_Terminal:一個中立的交易站，淘金者可以來賣東西賺錢和購買新的塊或技術。右鍵單機即可訪問商店終端的菜單。小心，敵人也可能使用這個交易站，所以不要把你的基地建在靠近它的地方。
GSOWheel_111:更好的越野土路輪！
GSOWheel_222:銀河政部特大輪是用來建造更大的銀河政部車輛來翻越陡峭的山坡。
GSOWheel_233:最大的銀河政部輪子。雖然不如重礦工業一樣大，也不如速限公司或鷹眼軍事強，但它在那些輪子中是一個可靠的老員工。
GSOWheelGroundClearing_211:高腳輪可以把載具提升的更高防止載具卡在山上或者是複雜地形上。
GSOWheelHub_111:一個包裹式車輪，可以在它周圍裝上更多零件。
GSOWheelSmall_111:一個小小的的徒步者輪胎，轉向性很好。
GSOWheelStabiliser_111:這個小穩定輪可以支撐載具頂端的負重。
GSOWingLeft_312:左翼，起飛！
GSOWingMini_311:一個迷你擾流板，可以用來擾流或者提升載具。
GSOWingRight_312:右翼，起飛！
GSOWingTail_122:用這個零件幫助你飛行的更平穩。
HE_AIModule_Guard_112:鷹眼軍事反AI模塊作為自主攻擊的載具的大腦是一個堅韌的行為單位。
HE_AITurret_112:這個可錨定的AI哨兵是偉大的防御者，有著自己內置的迷你自動炮，如果配備更多的火力就可以毫不留情的把那些不速之客狠狠的揍一頓。
HE_AnchorFixed_212:一鷹眼軍事固定錨。把它放在地上，在它周圍可以建一個錨定的基地。它只是不能旋轉好嗎？這也是相當難的。
HE_AnchorRotating_212:這鷹眼軍事旋轉錨是非常強大的錨定塊。它能承擔相當重的負載，但是仍能以合理的速度旋轉。比重礦工業的快，但銀河政部的慢。
HE_ArmouredBlock_10_111:由聚合微通道碳納米棒物質來製造的裝甲。這是偉大的藝術。
HE_ArmouredBlock_11_121:由聚合微通道碳納米棒物質來製造的裝甲。這真的是偉大的藝術。
HE_ArmouredBlock_12_131:由聚合微通道碳納米棒物質來製造的裝甲。這真的是偉大的藝術。
HE_ArmouredWheel_13_111:一個令人難以置信的ACNR彈性運行扁平輪。
HE_BlockSkirting_121:這些墊腳塊被用來填補在建立一個錨定的基地的牆的差距。它們可以隨便用。他們缺少附加點，但是他們彌補了基地裝甲的缺陷。
HE_Bracket_01_22_111:一個有用的多功能性的支架系統，是個不尋常的零件。
HE_Bracket_02_23_111:一個有用的多功能性的支架系統，是個不尋常的零件。
HE_Bracket_03_24_111:一個有用的多功能性的支架系統，是個不尋常的零件。
HE_Bracket_4AP_111:一個角架可以佔用更小的空間來允許你建造。比一般的零件都輕。
HE_Bracket_Alt_01_111:一個彈跳傑克支架，有六個連接點，比一般的零件整體重量輕。
HE_Cab_07_111:一個高科技先導式駕駛艙，秘密行動的完美選擇。
HE_CannonTurret_327:M4A4炮砲塔採用一個緊湊的16磅火砲，有自動裝填能力的超級大砲。
HE_CannonTurret_Short_525:M4A4炮砲塔採用一個緊湊的16磅火砲，有自動裝填能力的超級大砲。
HE_Chain_Gun_29_111:我們親切的叫他“狂暴機器”，這個自動供彈的自動機槍可以對敵人傾瀉猛烈的火力。
HE_Collector_111:一個中小型牽引盤，很高的收集範圍和較低的收集效率。
HE_Cruise_Missile_51_121:一個功能強大的智能導彈，可以自動尋找攻擊目標，並能造成大量傷害。
HE_DeliveryCannon_353:戰場級錨定投送炮。它能承受一些攻擊當然它很佔地方。與其他的投送炮一樣，它也可以把資源塊投送到軌道中繼站以換取資金。
HE_Fabricator_332:鷹眼軍事合成台將把資源塊合成成為鷹眼軍事科技的零件。
HE_Fan_16_111:這種多功能螺旋槳可以在任何配置中使用，並產生強大的爬升力。
HE_Fuel_131:一個強大的坦克燃料罐，這需要一些時間來填滿燃料罐，但是罐內可以儲存很多燃料。
HE_Jet_25_111:俗稱“搖滾火箭”，這種空氣增壓噴射引擎可以產生高達200000磅的推力。
HE_JetEngine_112:啊，這不就是最可愛的？不過，這架小型噴氣式發動機是件嚴肅的事。帶上兩個這樣的東西，你就可以從任何交火區域離開。
HE_LandingGear_32_111:這個隱藏起落架系統具有高度緊湊的折疊輪安裝在了一個整潔的起落架艙室裡。自動傳感檢測器可以檢測載具接近或離開地面時把車輪升高或者降低。
HE_Laser_Targeting_111:新的實驗性武器，用於手動選擇目標。
HE_Light_Stud_111:這個閃爍的燈在載具左側時為紅色，右側為綠色。
HE_MachineGun_33_111:這是老式的STEM輕機槍，小規模行動的最佳選擇。
HE_Mini_Gun_20_111:“N83RC”是一種高火力的六管機槍，可以傾瀉高效率高持續性的的火力，它具有一個加特林風格的旋轉套筒以及外部電源。
HE_Missile_Pod_28_111:“探索者”導彈發射倉系統裝有兩個紅外線熱導“戰鎚”型導彈，這是一個多功能的武器，在地對空，空對空和空對地的攻擊中都能擔當重任。
HE_Pylon_17_111:這個武器掛架通常用於翼下武器的掛載，這種多用途的工具可以用在任何方向的武器掛載。
HE_RailGun_113:“阿基拉”型軌道炮可以遠距離射擊，無論多遠這種使用大功率電磁鐵的軌道炮都可以在任何載具上打一個洞。
HE_Refinery_232:最重的裝甲精鍊器，讓你在戰場上提煉資源塊。
HE_Regen_112:重型修復罩發生器，但是尺寸會更大和更高的修復率。
HE_Rotor_Large_19_111:“阿特拉斯”是一種重型的轉子片，一個非常強大的引擎會推動這個寬翼大型轉子產生極端的推力。
HE_Rotor_Small_18_111:“風暴”是一種可以產生大量推力的中型轉子片，可變的葉片可以移向任何一個方向工作。
HE_ScrapMagnet_212:鷹眼軍事的可堆疊方塊磁鐵，最適合帶走你的戰利品。
HE_Scrapper_323:鷹眼軍事分解器可以將鷹眼軍事零件分解為資源塊。
HE_SCU_343:雖然“迷宮”錨定 SCU 的拾取範圍和啟動時間都較為優秀，但真正值得稱道的是它的裝甲。與所有 SCU 設備相同，它會將未安裝的方塊存入另一空間，隨後您可以在物件庫中找到它們並使用。
HE_SensorPod_30_111:連續波雷達系統是一種可靠，完美的雷達，可以掃描周圍的敵人並顯示在小地圖上。
HE_Shield_111:一個大型六角形防禦盾構成發生器，會提供大量的保護，但也會消耗大量的電力。
HE_Shotgun_112:“萬用鑰匙”霰彈槍是一種高破壞性的短距離投射武器。它可以把任何載具的零件都噴飛。
HE_StdBlock_01_111:這是一塊重型的，皮糙肉厚但是應用靈活的方塊，這個比一般的基礎方塊貴一點。
HE_StdBlock_08_121:很像單方塊，這個雙方塊融合了兩個單方塊，但是他更重更硬，當然會更貴一點
HE_StdBlock_Alt_1_02_111:這是一塊重型的，皮糙肉厚但是應用靈活的方塊，這個比一般的基礎方塊貴一點。
HE_StdBlock_Alt_1_09_121:很像單方塊，這個雙方塊融合了兩個單方塊，但是他更重更硬，當然會更貴一點
HE_StdBlock_Alt_2_03_111:這是一個偉大的轉角塊，可以完美的放置在角上，很輕但是很耐用。
HE_StdBlock_Alt_2_09_121:這種長支架比雙方塊輕，但是也很耐用。
HE_StdBlock_Alt_3_04_111:這是一塊重型的，皮糙肉厚但是應用靈活的方塊，這個比一般的基礎方塊貴一點。
HE_StdBlock_Alt_4_05_111:這是一個平板支架，在平面四個方向有四個連接點，也比較堅固。
HE_StdBlock_Alt_4_06_111:這是一塊重型的，皮糙肉厚但是應用靈活的方塊，這個比一般的基礎方塊貴一點。
HE_Suppressed_MGun_111:安靜，小型的機關槍。這是一個比較小的機槍，不容易被周圍的大型武器干擾（可以用來填充一些空白的部位來安裝更多的槍）
HE_Tail_Wing_27_111:這種機翼使用了堅固的納米纖維，而且這些機翼的設計能讓飛機保持較低的雷達反射信號。
HE_TB_Carbius_222:一個方便運輸的煤碳壓縮塊。用64塊煤磚製造。
HE_TB_Celestian_222:一個方便運輸的鎂晶壓縮塊，用64塊鎂晶製造。
HE_TB_Erudian_222:一個方便運輸的博晶壓縮塊，用64塊博晶製造。
HE_TB_Fibron_222:一個方便運輸的木纖維壓縮塊，用64塊木纖維製造。
HE_TB_Ignian_222:一個方便運輸的鈮晶壓縮塊，用64塊鈮晶製造。
HE_TB_Luxian_222:一個方便運輸的氖晶壓縮塊，用64塊氖晶製造。
HE_TB_Olastic_222:一個方便運輸的塑膏壓縮塊，用64塊塑膏製造。
HE_TB_Plumbia_222:一個方便運輸的鐵錠壓縮塊，用64塊鐵錠製造。
HE_TB_Rodius_222:一個方便運輸的镉酸壓縮塊，用64塊镉酸液製造。
HE_TB_Rubber_222:一個方便運輸的橡膠壓縮塊，用64塊橡膠製造。
HE_TB_Titania_222:一個方便運輸的鈦錠壓縮塊，用64塊鈦錠製造。
HE_Terminal_111:一個專業銷售鷹眼軍事零件的商店終端。
HE_Tracks_21_111:“M4”是一種連續型軌道履帶，由高強度材料製造的履帶不像鋼履帶一樣需要經常手動修復連接，這種履帶有一個內置的熔融物修復單元來自動修復履帶上的破洞，當然這種履帶的承重能力也相當高，。
HE_Wheel_14_111:越野輪，機動性特別強，這是低調的偵察車專用的輪子。
HE_Wheel_Single_02_122:完美的偵察車輪，這種輪子有足夠的連接點來讓偵察車變得更小的同時也有合理的火力。
HE_Wheel_Single_121:完美的偵察車輪，這種輪子有足夠的連接點來讓偵察車變得更小的同時也有合理的火力。
HE_Wing_26_111:這種機翼使用了堅固的納米纖維，而且這些機翼的設計能讓飛機保持較低的雷達反射信號。
HE_Wing_Wheel_31_111:一個額外的支撐輪，通常懸掛在機翼下增加穩定性。
HE_WingTip_121:這個小型翼可以放置在機翼末端來結束整個機翼或者作為一個方便的尾翼來安裝在飛機尾部。
SPE_Moustache_111:一個漂亮的小鬍子讓某個載具看起來更美觀。
SPE_Sombrero_323:一個正宗的墨西哥大草帽，可以保護你的載具不被烈日烤焦，當然最重要的是可以讓載具看起來更像一個大明星。
SPEBeardGreen_111:綠色的大鬍子
SPEBeardWhite_111:像雪一樣白的鬍子\n\n 下面是寫在裡面的標籤“這是一個雄偉的原銀河太空猴子國王戴的鬍子的翻版，國王亞瑟，在未來零重力環境的運動項目，這鬍子可以給其佩戴者+2分的。”
SPEBirthdayHat_111:這是什麼？蛋糕帽子嗎？給我的嗎？你居然沒有！
SPEBowlerHat_111:戴上這個帽子像一個老闆一樣擴大你的商業帝國。
SPEBunnyEars_111:喜慶的兔子耳朵我們要在春天去打獵的時侯戴上。
SPEColourBlock01_Black_111:一種製作漂亮的帶圖案的顏色塊。
SPEColourBlock02_Grey_111:一種製作漂亮的帶圖案的顏色塊。
SPEColourBlock03_White_111:一種製作漂亮的帶圖案的顏色塊。
SPEColourBlock04_Purple_111:一種製作漂亮的帶圖案的顏色塊。
SPEColourBlock05_DarkBlue_111:一種製作漂亮的帶圖案的顏色塊。
SPEColourBlock06_Blue_111:一種製作漂亮的帶圖案的顏色塊。
SPEColourBlock07_LightBlue_111:一種製作漂亮的帶圖案的顏色塊。
SPEColourBlock08_LightGreen_111:一種製作漂亮的帶圖案的顏色塊。
SPEColourBlock09_Green111:一種製作漂亮的帶圖案的顏色塊。
SPEColourBlock10_YellowGreen_111:一種製作漂亮的帶圖案的顏色塊。
SPEColourBlock11_Yellow_111:一種製作漂亮的帶圖案的顏色塊。
SPEColourBlock12_Orange_111:一種製作漂亮的帶圖案的顏色塊。
SPEColourBlock13_Brown_111:一種製作漂亮的帶圖案的顏色塊。
SPEColourBlock14_Red_111:一種製作漂亮的帶圖案的顏色塊。
SPEColourBlock15_Magenta_111:一種製作漂亮的帶圖案的顏色塊。
SPEColourBlock16_Pink_111:一種製作漂亮的帶圖案的顏色塊。
SPEColourBlock17_Camping_Green_111:一種適合野營時使用的綠色方塊。小帳篷挑選的。
SPEColourBlock18_Indigo_111:一個適合造睡袋的深藍色方塊。沉睡蛋糕挑選的。
SPEColourBlock19_Light_Pink_111:一個光鮮亮麗的粉紅色方塊。條紋1號挑選的。
SPEColourBlock20_Flesh_01_111:收割者X挑選的肉色方塊
SPEColourBlock21_Flesh_02_111:收割者X挑選的肉色方塊
SPEColourBlock22_Flesh_03_111:收割者X挑選的肉色方塊
SPEColourBlock23_Flesh_04_111:收割者X挑選的肉色方塊
SPEColourBlock24_Flesh_05_111:收割者X挑選的肉色方塊
SPEFezHat_111:一個塵土飛揚的舊氈帽，它為什麼會在這？
SPEHalHatEye_111:一種源於星球尤格斯的修格斯之眼，看起來它沒有連接到它的本體但是沒有消失，真是奇怪。
SPEHalHatHorn_111:免責聲明：這些東西不不構成一整套萬聖節服裝，當然你使用你發現的任何萬聖節狂歡服裝都是你的權利，當然我們認為這個零件不應該被使用，沒有什麼可說的了。
SPEHalHatPumpkin_111:你得到了什麼，一個直徑一格的南瓜？哦南瓜皮，你還記得數學/南瓜的笑話嗎，雖然我們現在的處境不應該說這些。
SPEHalHatWitch_111:一個可怕的巫婆帽。我不知道她為什麼不在這裡。她是多麼粗心。
SPEHatGreen_111:一個綠色的帽子，好的妖精和壞的妖精都會戴。
SPEHatRed_111:一個快樂的聖誕帽
SPEIceCreamCone_111:一個獨特的方法來讓你的載具不會過熱，保持較低的溫度。
SPELemon_111:檸檬國王萬歲。
SPEMiningHelmet_111:授予給那些從遊戲發布第一年就支持我們的泰拉科技礦工們。
SPEPartyCone_111:這個景點的頭飾能讓你成為所有宴會的靈魂人物。
SPEVH_01_111:這個頭盔的主人是來訪的維京武士，他們已經回去他們的冰雪天地了。Skål！
SPEXmasDeelyBaubleBlue_121:多麼可愛的閃亮飾品！
SPEXmasDeelyBaubleGold_121:多麼可愛的閃亮飾品！
SPEXmasDeelyBaubleSilver_121:多麼可愛的閃亮飾品！
SPEXmasDeelyPresentGreen_121:哦一個禮物！給我的嗎？你不應該拿到！我沒給你任何東西。
SPEXmasDeelyPresentRed_121:哦一個禮物！給我的嗎？你不應該拿到！我沒給你任何東西。
SPEXmasDeelyPresentSilver_121:哦一個禮物！給我的嗎？你不應該拿到！我沒給你任何東西。
SPEXmasDeelyPudding_121:這個無花果布丁有點要分裂，你喜歡嗎？
SPEXmasDeelyRobin_121:看這個搖擺的小知更鳥。如果你移動他，他會來回的搖擺，他不會倒。
SPEXmasDeelyStar_121:是時候裝飾一切了！在這裡，用這個星星！
SPEXmasReindeerAntlers_311:一個節日的鹿角！吼！吼！吼！
SPEXmasRudolfRedNose_111:有誰聽說過紅鼻子的馴鹿？
SPEXmasTree_353:閃爍的聖誕樹。聚集在它周圍。讓我們一起唱一首頌歌！
SPEXmasTurkey_323:這就是它！主角出場！一個巨大的烤火雞，剛出爐！檢查一下有沒有清理好。說真的，食物中毒不是笑話。
VEN_TB_Carbius_121:一個方便運輸的煤碳壓縮塊。用8塊煤磚製造。
VEN_TB_Celestian_121:一個方便運輸的鎂晶壓縮塊，用8塊鎂晶製造。
VEN_TB_Erudian_121:一個方便運輸的博晶壓縮塊，用8塊博晶製造。
VEN_TB_Fibron_121:一個方便運輸的木纖維壓縮塊，用8塊木纖維製造。
VEN_TB_Ignian_121:一個方便運輸的鈮晶壓縮塊，用8塊鈮晶製造。
VEN_TB_Luxian_121:一個方便運輸的氖晶壓縮塊，用8塊氖晶製造。
VEN_TB_Olastic_121:一個方便運輸的塑膏壓縮塊，用8塊塑膏製造。
VEN_TB_Plumbia_121:一個方便運輸的鐵錠壓縮塊，用8塊鐵錠製造。
VEN_TB_Rodius_121:一個方便運輸的镉酸壓縮塊，用8塊镉酸液製造。
VEN_TB_Rubber_121:一個方便運輸的橡膠壓縮塊，用8塊橡膠製造。
VEN_TB_Titania_121:一個方便運輸的鈦錠壓縮塊，用8塊鈦錠製造。
VENAIGuardModule_111:這個AI模塊是偉大的建築的偵查勘探者。
VENAltimeter_111:速限公司的流線形高度計，來計算你的載具與海拔之間的距離。(注意：不是所有的星球也有海洋，出來的結果可能會有差別)
VENAnchorFixed_111:這是一速限公司定錨，給所有熱愛固定基地的風速科技愛好者……玩得開心！
VENAnchorRotating_111:這是最快的旋轉錨。不過不要期望它承受太多的重量。對於需要快速移動目標的輕型防禦塔來說，這是一個不錯的選擇。
VENBattery_111:電池容量小但很輕，不易引起太大的爆炸。
VENBlock_111:又輕又便宜的小方塊，用這個可以造一個高速的賽車，但是不太能受到傷害。
VENBlock_112:這個方塊很像一個加長版的速限公司單方塊。
VENBlockSkirting_121:這些墊腳塊被用來填補在建立一個錨定的基地的牆的差距。它們可以隨便用。他們缺少附加點，但是他們彌補了基地裝甲的缺陷。
VENBooster_111:一個強大的脈衝增壓噴射器被封裝在了一個小零件裡
VENBoosterDouble_211:你知道什麼是比一個助推器更好嗎？ 雙重推進器！ 那什麼是比雙重助推器更好嗎？ 四重推進器！ 雖然我們沒有四重推進器，但是買兩個雙重推進器都有相同的效果！
VENBracketRightAngle_111:直角支架零件。這是個堅固的、輕量級的解決方案，記得最好別被攻擊。
VENBracketStraight_111:一個簡單輕便的支架，雖然只有兩端有連接點。這是為了讓載具的體重降低所設計的。
VENBracketStraight_211:一個比較長的直支架。
VENBracketUShape_111:一個U型支架，一個有三個連接點的方塊替代品，這玩意相當強！
VENCockpit_111:你的標準速限公司駕駛艙，帶有橙色的擋風玻璃。
VENConveyor_111:速限公司輸送器可以傳遞資源塊到連接的輸送器或工業方塊。
VENDeliCannon_221:這種移動投送炮可以在移動的載具上投送資源塊來賣錢，這會使賺錢變的相當的方便。
VENEnclosedProp_113:零是一款帶有 9 個連接點的小型螺旋槳，規格不大但動力十足。它的價格合理，但其在規格較小的限制下仍可發出優秀的動力。這意味著它能為小型載具提供最佳的動力供給，但前提是您負擔得起。
VENFabricator_322:速限公司合成台可以允許你使用資源塊製造速限公司的各種零件。
VENFlameThrower_121:這種火焰噴射器是偉大的武器，可以在你朋友面前炫耀你載具的火力，這多好，不過你要知道，這東西戰鬥很在行，但是挖掘能力很差。
VENFrontWing_311:這東西可以讓你的載具看起來更像一輛F1方程式賽車，當然這只是一個擾流板。
VENFuelPod_111:一個非常小的油箱，但是有驚人的容量和價格。
VENFuelTank_212:高度壓縮的燃料箱能夠儲存很多燃料，當然燃料的消耗也會很快。
VENGyro_AllAxis_Active_111:這個精良的陀螺儀能讓飛機更穩定，也可以用來讓很難起飛或者很難直立的載具或者其他什麼的更穩定，這些功能能用來做很多事情。这个陀螺仪是“活动的”，代表它会通过扭矩强制使你的载具恢复至直立位置。并且它是“全轴的”，代表它会在全部三个自转轴中生效。
VENHoverPlate_211:速限公司 0重力懸浮板會在一個給定的方向上提供無限的動力，這是偉大的東西，但是他不能被關閉，這點不是特別好。
VENLandingGear_111:這個相對封閉的輪子有一個外殼，在側面和頂部有連接點。
VENLightFixed_111:一個反彈式的大燈裝在了一個堅固的外殼內，可以處理那些小路上的顛簸並照亮前面的路。
VENLightSpot_111:在夜間速限公司和戰鬥的話這個零件是完美的選擇，這個東西小小的但是功能很強大，可以自動照亮在周圍的敵人。
VENLightStrip_211:超薄的光板可以裝到載具底下來產生紅光，這會讓載具看起來可怕一點。
VENLightStud_111:這些明亮的橙色發光二極管是一種優質，高效的照明裝備，如果你想要去速限公司的話這是個選擇。
VENMediumMachineGun_121:高射速，低重心，高衝擊力，這是一個野獸一樣的機槍。
VENMGun_111:一個很棒的機槍，高射速，精度差了那麼一點。
VENMGun_112:高射速，射程也不低，是下一種可靠的自動武器。
VENMobileSCU_221:這種SCU存儲設備可以在移動中使用，它不需要錨定，但是依舊需要一點時間來撿起周圍的東西，當然收集的距離也比可錨定的短一些，但是這東西依舊是那麼的方便。
VENNoseProp_331:一個堅固的可以在前端安裝的螺旋槳轉子。
VENPropSmall_111:一款規格較小，價格適中的入門級螺旋槳。極適用於飛行愛好者首次升空使用。或用於增加動力，填補大型飛行器的剩餘空間。
VENRadar_111:這種速限公司雷達有助於避免大型敵人的偵察兵靠近。
VENReceiver_111:速限公司接收盤可以駐留並傳遞資源塊，即使在高速情況下也是，但是它只能放一個資源塊。當然了，這並不多。
VENRefinery_212:這種精煉器可以在移動的時候也進行精煉工作，這意味著你以後不需要為了使用他而先進行錨地。
VENRegen_111:修復罩很小，但是修復的速度很快，電量消耗較低。
VENRemoteCharger_111:一個速限公司充電器，可以轉移這個載具上的電量到任何一個周圍的友軍的載具上的電池裡。[短程，充電快，小功率]
VENRPGLauncher_122:火風暴輕型導彈發射器是一直近距離鎖定的導彈發射器，只要你在範圍內這些導彈一定會擊中你，。
VENScrapper_212:一個速限公司回收器，可以分解方塊獲得一些資源塊和組件。
VENShield_111:這些防禦罩很小，但是有大量的傷害抗性和較低的電量消耗。
VENShotgunContact_111:速限公司接觸式霰彈獵槍是近距離使用的有力武器。但是對於遠處的目標效果不太好。
VENSilo_212:一個中等大小的混合倉筒，這這倉筒裡可以放各種各樣的資源塊。
VENSpeedometer_111:這個小東西將在屏幕上添加一個速度顯示器，你可以看到你現在駕駛的載具的行駛速度。
VENSteeringHover_111:速限公司 5方向推進器是一種在我們的航空技術遭到重大障礙的時候研發出來的創世之作，這可以讓載具傾斜甚至翻滾，這也是很好的轉向懸停載具的推進器選擇
VENSteeringHoverBi_111:速限公司的雙向助推器，可更容易操縱懸停載具。
VENSteeringHoverSingle_111:速限公司的單向助推器，可更容易操縱懸停載具。
VENStreamlineCorner_111:此流線型鉤喙形角塊能夠幫助您更改速限公司載具的線條，但會減少用以添加裝甲的連接點。
VENStreamlineLarge_131:此流線型大型恐龍頭形方塊能夠幫助您更改速限公司載具的線條，但會減少用以添加裝甲的連接點。
VENStreamlineLargeAlt_131:此流線型鴨嘴形方塊能夠幫助您更改速限公司載具的線條，但會減少用以添加裝甲的連接點。
VENStreamlineMed_121:此流線型中型恐龍頭形方塊能夠幫助您更改速限公司載具的線條，但會減少用以添加裝甲的連接點。
VENStreamlineSmall_111:此流線型小型恐龍頭形方塊能夠幫助您更改速限公司載具的線條，但會減少用以添加裝甲的連接點。
VENTerminal_111:這個 速限公司 商店終端可以用來購買各種各樣的 速限公司 的零件。
